comment_text,toxic
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
"as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on",0
"why does anyone care what the albino nigger has to say",1
"that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic",0
"this sounds like a kike national socialist",0
"i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though",0
"only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes",0
"a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her",0
comment_text,0
"i dont think im getting my baby them white 9 he has two white j and nikes not even touched",0
"we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum",0
"nawt yall niggers ignoring me",1
"<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔",0
"this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches",1
"laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate",1
"and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew",0
"nogs jews and dykes how enriching",0
"guilty until proven innocent unless you are a jew a nigger or a lover of both",0
"tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters",0
"<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret",0
"tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already",1
"<percent> cotton thigh highs to avoid contact with any gay chemicals",0
"oomf a <number> yearl old closet gay and obsessed with me someone help",0
"all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴",0
"fellas be careful she texting other niggas",0
"italian niggas call they dick the poozingi",1
"<user> what did the old lady do was she a nazi or white supremacist",0
"<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama",0
"<user> condoning drug use not kike at all thanks for that disclosure",0
"<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes",0
"<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land",0
"anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia",0
"lol what a stupid kike",1
"it funny how people offended by the word nigger have no problem calling people nazis what the difference",0
